original_index,name,zone,rating,votes,cuisine,price_range,price_symbol,maps_url,lat,lon,geocode_query_used
0,Zum alten Nussbaum,Spittelau,4.8,355 votes,austrian,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=Zum+alten+Nussbaum%2C+Spittelau%2C+Vienna,48.2355915,16.358076,"Spittelau, Vienna, Austria"
1,Steirereck,Stadtpark,5,7718 votes,restaurant,,€€€€,https://www.google.com/maps/search/?api=1&query=1.+Steirereck%2C+Stadtpark%2C+Vienna,48.2047673,16.3796777,"Stadtpark, Vienna, Austria"
2,Restaurant Amador,Heiligenstadt,5,683 votes,restaurant,,€€€€,https://www.google.com/maps/search/?api=1&query=2.+Restaurant+Amador%2C+Heiligenstadt%2C+Vienna,48.2539176,16.3585918,"Restaurant Amador, Heiligenstadt, Vienna, Austria"
3,Vestibül Restaurant im Burgtheater,Herrengasse,5,1062 votes,restaurant,,€€€€,https://www.google.com/maps/search/?api=1&query=3.+Vestib%C3%BCl+Restaurant+im+Burgtheater%2C+Herrengasse%2C+Vienna,48.209398,16.3656353,"Herrengasse, Vienna, Austria"
4,Mochi,Schwedenplatz,5,3857 votes,sushi,€5 - €23,€€€,https://www.google.com/maps/search/?api=1&query=4.+Mochi%2C+Schwedenplatz%2C+Vienna,48.2117248,16.3785895,"Schwedenplatz, Vienna, Austria"
5,Skopik & Lohn,Taborstraße,5,2654 votes,austrian,€9 - €22,€€,https://www.google.com/maps/search/?api=1&query=5.+Skopik+%26+Lohn%2C+Taborstra%C3%9Fe%2C+Vienna,48.2192624,16.3815518,"Taborstraße, Vienna, Austria"
6,Silvio Nickol,Stubentor,5,840 votes,austrian,,€€€€,https://www.google.com/maps/search/?api=1&query=6.+Silvio+Nickol%2C+Stubentor%2C+Vienna,48.2069483,16.3792758,"Stubentor, Vienna, Austria"
7,Apron,Stadtpark,5,897 votes,austrian,,€€€€,https://www.google.com/maps/search/?api=1&query=7.+Apron%2C+Stadtpark%2C+Vienna,48.2047673,16.3796777,"Stadtpark, Vienna, Austria"
8,Z‘Som Restaurant,Taubstummengasse,5,410 votes,restaurant,,€€€,https://www.google.com/maps/search/?api=1&query=8.+Z%E2%80%98Som+Restaurant%2C+Taubstummengasse%2C+Vienna,48.1936873,16.3704158,"Taubstummengasse, Vienna, Austria"
9,Mraz & Sohn,Jägerstraße,5,1760 votes,austrian,,€€€€,https://www.google.com/maps/search/?api=1&query=9.+Mraz+%26+Sohn%2C+J%C3%A4gerstra%C3%9Fe%2C+Vienna,48.235224,16.3687097,"Jägerstraße, Vienna, Austria"
